Date,Party,Item Code,Qty (Nos),Brand,Cust_type,Media
02-09-2021,Vedanta Limited,FWP-100A22F,15.0,Bussmann,En,E
02-09-2021,Kashinath Distributors,K81PEX100,6.0,Bussmann,T,E
02-09-2021,Kashinath Distributors,K81PEX160,3.0,Bussmann,T,E
02-09-2021,Nimbus Solutions,170M5415,3.0,Bussmann,T,E
02-09-2021,Nimbus Solutions,170M1564D,6.0,Bussmann,T,E
02-09-2021,Nimbus Solutions,250FM,6.0,Bussmann,T,E
02-09-2021,Nimbus Solutions,170M6163,6.0,Bussmann,T,E
02-09-2021,Melkev Machinery Impex,35ET,12.0,Bussmann,Ex,E
06-09-2021,Smisen Controls Pvt. Ltd.,170M3441,3.0,Bussmann,OEM,E
06-09-2021,Smisen Controls Pvt. Ltd.,170M3448,1.0,Bussmann,OEM,E
06-09-2021,Industrial Sales Agencies,170M6813D,12.0,Bussmann,T,E
06-09-2021,Gujarat Nippon International Pvt. Ltd.,36ABQNA3.15,5.0,Bussmann,Ex,E
06-09-2021,Growmech Industries Pvt. Ltd.,NS10,5.0,Bussmann,Ex,E
07-09-2021,Flame Business Services,170M6301,10.0,Bussmann,A,E
07-09-2021,Flame Business Services,170M4700,12.0,Bussmann,A,E
08-09-2021,Shanti Electricals,170M6162,9.0,Bussmann,T,E
08-09-2021,Shanti Electricals,170M6166,12.0,Bussmann,T,E
08-09-2021,Shanti Electricals,160LMT,10.0,Bussmann,T,E
08-09-2021,Shanti Electricals,170M1373,3.0,Bussmann,T,E
08-09-2021,Rungta Mines Limited,170M7309,15.0,Bussmann,En,E
08-09-2021,Rungta Mines Limited,350FM,10.0,Bussmann,En,E
08-09-2021,Rungta Mines Limited,250FM,10.0,Bussmann,En,E
08-09-2021,Rungta Mines Limited,200FM,10.0,Bussmann,En,E
08-09-2021,Rungta Mines Limited,400FMM,10.0,Bussmann,En,E
08-09-2021,Rungta Mines Limited,700FMM,10.0,Bussmann,En,E
11-09-2021,MANAG a. s.,450SBMT,50.0,Bussmann,A,E
11-09-2021,Jain Electro Services,NSD10,20.0,Bussmann,T,E
11-09-2021,Jain Electro Services,NSD20,20.0,Bussmann,T,E
16-09-2021,Deb Agencies,170L9877,800.0,Bussmann,T,E
18-09-2021,Gurukrupa International,170M8545,9.0,Bussmann,Ex,E
21-09-2021,Shanti Trading Corporation,FWA-4000AH,6.0,Bussmann,T,E
22-09-2021,Aira Trex Solutions I Pvt Ltd,SD3-S,51.0,Bussmann,T,E
22-09-2021,Aira Trex Solutions I Pvt Ltd,SD2-S,21.0,Bussmann,T,E
