Date,Party,Item Code,Qty (Nos),Brand,Cust_type,Media
2022-03-02,Xicon International Ltd.,170M1563D,90,Bussmann,T,E
2022-04-02,Avighna Enterprises,20NHG000B,150,Bussmann,T,E
2022-04-02,Avighna Enterprises,25NHG000B,150,Bussmann,T,E
2022-04-02,Avighna Enterprises,32NHG000B,150,Bussmann,T,E
2022-04-02,Avighna Enterprises,63NHG000B,150,Bussmann,T,E
2022-04-02,Avighna Enterprises,125NHG00B,30,Bussmann,T,E
2022-04-02,Avighna Enterprises,200NHG1B,30,Bussmann,T,E
2022-04-02,Avighna Enterprises,315NHG2B,30,Bussmann,T,E
2022-04-02,Avighna Enterprises,40NHG000B,120,Bussmann,T,E
2022-04-02,Avighna Enterprises,16NHG000B,210,Bussmann,T,E
2022-04-02,Avighna Enterprises,50NHG000B,180,Bussmann,T,E
2022-04-02,Avighna Enterprises,80NHG000B,120,Bussmann,T,E
2022-04-02,Avighna Enterprises,4NHG000B,210,Bussmann,T,E
2022-04-02,Avighna Enterprises,100NHG000B,60,Bussmann,T,E
2022-04-02,Darshana Enterprises,6NHG000B,20,Bussmann,T,E
2022-04-02,Positronics Pvt. Ltd.,SD2-S,12,Bussmann,T,E
2022-04-02,Positronics Pvt. Ltd.,170M5808,12,Bussmann,T,E
